"x","y","island"
145.67,18.731,"AGR"
145.68,18.734,"AGR"
145.68,18.736,"AGR"
145.69,18.737,"AGR"
145.69,18.737,"AGR"
145.69,18.739,"AGR"
145.69,18.74,"AGR"
145.69,18.744,"AGR"
145.69,18.748,"AGR"
145.69,18.752,"AGR"
145.7,18.756,"AGR"
145.7,18.759,"AGR"
145.7,18.763,"AGR"
145.7,18.768,"AGR"
145.7,18.772,"AGR"
145.7,18.777,"AGR"
145.7,18.781,"AGR"
145.7,18.785,"AGR"
145.7,18.789,"AGR"
145.7,18.793,"AGR"
145.69,18.796,"AGR"
145.69,18.797,"AGR"
145.69,18.801,"AGR"
145.68,18.805,"AGR"
145.68,18.809,"AGR"
145.68,18.81,"AGR"
145.67,18.811,"AGR"
145.67,18.812,"AGR"
145.66,18.813,"AGR"
145.66,18.813,"AGR"
145.65,18.812,"AGR"
145.65,18.81,"AGR"
145.65,18.806,"AGR"
145.65,18.802,"AGR"
145.64,18.799,"AGR"
145.64,18.795,"AGR"
145.64,18.792,"AGR"
145.64,18.79,"AGR"
145.64,18.786,"AGR"
145.64,18.782,"AGR"
145.64,18.778,"AGR"
145.64,18.774,"AGR"
145.64,18.77,"AGR"
145.64,18.765,"AGR"
145.64,18.763,"AGR"
145.64,18.761,"AGR"
145.64,18.759,"AGR"
145.64,18.755,"AGR"
145.64,18.751,"AGR"
145.64,18.747,"AGR"
145.64,18.743,"AGR"
145.65,18.739,"AGR"
145.65,18.735,"AGR"
145.65,18.732,"AGR"
145.66,18.73,"AGR"
145.66,18.727,"AGR"
145.66,18.727,"AGR"
145.54,14.839,"AGU"
145.54,14.84,"AGU"
145.55,14.841,"AGU"
145.55,14.842,"AGU"
145.56,14.843,"AGU"
145.56,14.843,"AGU"
145.57,14.845,"AGU"
145.57,14.848,"AGU"
145.57,14.851,"AGU"
145.58,14.854,"AGU"
145.58,14.858,"AGU"
145.58,14.862,"AGU"
145.58,14.866,"AGU"
145.57,14.867,"AGU"
145.57,14.865,"AGU"
145.57,14.863,"AGU"
145.56,14.862,"AGU"
145.56,14.86,"AGU"
145.55,14.858,"AGU"
145.55,14.857,"AGU"
145.54,14.855,"AGU"
145.54,14.853,"AGU"
145.54,14.849,"AGU"
145.54,14.845,"AGU"
145.53,14.84,"AGU"
145.53,14.836,"AGU"
145.84,17.58,"ALA"
145.84,17.581,"ALA"
145.84,17.582,"ALA"
145.84,17.584,"ALA"
145.84,17.584,"ALA"
145.85,17.586,"ALA"
145.85,17.587,"ALA"
145.85,17.588,"ALA"
145.85,17.591,"ALA"
145.85,17.593,"ALA"
145.85,17.595,"ALA"
145.85,17.597,"ALA"
145.85,17.6,"ALA"
145.85,17.604,"ALA"
145.85,17.605,"ALA"
145.85,17.607,"ALA"
145.85,17.609,"ALA"
145.85,17.611,"ALA"
145.85,17.613,"ALA"
145.85,17.614,"ALA"
145.84,17.614,"ALA"
145.84,17.615,"ALA"
145.84,17.618,"ALA"
145.84,17.62,"ALA"
145.84,17.621,"ALA"
145.83,17.621,"ALA"
145.83,17.621,"ALA"
145.83,17.62,"ALA"
145.83,17.62,"ALA"
145.82,17.618,"ALA"
145.82,17.617,"ALA"
145.82,17.613,"ALA"
145.82,17.612,"ALA"
145.82,17.611,"ALA"
