lat,lon
25.7816099998,-171.72978
25.7814109695,-171.728318989
25.7814404754,-171.726833889
25.7806940666,-171.725508346
25.7804283771,-171.724007594
25.7795943285,-171.722750508
25.7780759343,-171.722734411
25.7765813323,-171.72299771
25.7750571893,-171.722937666
25.7740422286,-171.723723314
25.7728485268,-171.724638032
25.7714009929,-171.725129752
25.7700162099,-171.725663024
25.7685719702,-171.726181684
25.7670875736,-171.72656507
25.7655889453,-171.726897948
25.7640665031,-171.726815301
25.7628786284,-171.727599006
25.7614980646,-171.72825702
25.7601500812,-171.728898286
25.7589210041,-171.729811995
25.7580726362,-171.731083524
25.7578852293,-171.732600632
25.7572356394,-171.733674602
25.7570265391,-171.735194227
25.7569605429,-171.736722939
25.7568117578,-171.738249218
25.7572127154,-171.739677651
25.7582106693,-171.740813137
25.7594010282,-171.74156518
25.7604933798,-171.742587777
25.7619427092,-171.74259
25.7632465559,-171.74204188
25.764658737,-171.742222785
25.7661425258,-171.741911046
25.7676344051,-171.741732202
25.7691252664,-171.741940994
25.770634849,-171.742093788
25.7720266196,-171.742258483
25.7732496819,-171.741389378
25.7741728293,-171.740251488
25.7756377773,-171.740062876
25.7768783779,-171.740923663
25.7781408303,-171.740438182
25.7789074582,-171.739186296
25.779165426,-171.737706399
25.7793813845,-171.736200642
25.7800464536,-171.734817092
25.7809888812,-171.733650005
25.7821205414,-171.732657368
25.7822336329,-171.731171513
25.7816099998,-171.72978
