lat,lon
21.0304671574,-156.595010768
21.0293376543,-156.590779062
21.0277969839,-156.58821819
21.0222567302,-156.586826558
21.0189755067,-156.583862753
21.0168040614,-156.57772669
21.0173893551,-156.571220903
21.0121976458,-156.566695185
21.0129554428,-156.56026595
21.00987309,-156.557130173
21.0066042614,-156.55506287
21.0020775607,-156.553335647
20.998476098,-156.549300585
21.0018120345,-156.544388486
20.9973507411,-156.542492611
20.9922199996,-156.540385835
20.9881621591,-156.53725
20.9846667481,-156.53418264
20.9855163515,-156.527703572
20.9821799997,-156.526468361
20.979564989,-156.526529867
20.9759236656,-156.526294929
20.9711609493,-156.526832767
20.9647140227,-156.525515041
20.9606893203,-156.520546904
20.9568464226,-156.517821802
20.9530955037,-156.515859054
20.9505902213,-156.5128976
20.9463074443,-156.508685745
20.9396854188,-156.507761193
20.9343496097,-156.503965478
20.9318371246,-156.497283573
20.9259131354,-156.493599656
20.9189728926,-156.492091698
20.912606525,-156.490312343
20.9107162551,-156.484884008
20.9052920783,-156.481233748
20.8984033841,-156.479831562
20.9000962579,-156.474218774
20.8952763891,-156.478437447
20.8911689183,-156.472828844
20.8945917484,-156.468354435
20.8965522443,-156.465754047
20.9001597266,-156.470899696
20.8982914929,-156.466371724
20.8972793117,-156.459951771
20.8967743066,-156.452870167
20.8990321513,-156.446994883
20.9008002882,-156.440284458
20.9035532956,-156.434328449
20.9079111209,-156.42879443
20.910367864,-156.422228209
20.908023304,-156.416019582
20.9097294315,-156.410007597
20.9131210262,-156.404357827
20.9131340035,-156.399064977
20.9154550835,-156.392542945
20.9156281634,-156.385493504
20.9197055395,-156.380932231
20.9228718223,-156.376284152
20.9252230383,-156.371126306
20.9299303049,-156.368590508
20.9316585771,-156.362180666
20.9342403513,-156.356092021
20.9362813393,-156.351150447
20.9379743454,-156.346056964
20.9360609334,-156.339950505
20.9387998973,-156.336381488
20.9423693288,-156.332207725
20.9442357107,-156.328300011
20.9455311019,-156.323268898
20.9460665603,-156.32077544
20.9423098786,-156.317804615
20.9450357136,-156.314729286
20.9409478195,-156.309387819
20.9402302759,-156.303091131
20.9421387728,-156.297115763
20.9426790201,-156.291382939
20.9441337721,-156.285116585
20.9436057631,-156.279528224
20.9381970991,-156.275992663
20.9346676481,-156.271388977
20.9371802761,-156.265993216
20.9385904135,-156.261613692
20.9358762261,-156.25821
20.9333151785,-156.254294322
20.9368655861,-156.251550492
20.9360499933,-156.246413617
20.9355863676,-156.241125427
20.9321878046,-156.239964739
20.9318787693,-156.236097963
20.9287756932,-156.233236076
20.9279692621,-156.22983
20.9263836334,-156.2281609
20.9211924088,-156.226478441
20.9154281265,-156.227666193
20.91463849,-156.22332151
20.9147863299,-156.217876261
20.9114095926,-156.214337534
20.9057418065,-156.214667907
20.9035412125,-156.212122734
20.9014632824,-156.206531363
20.8974523377,-156.201496944
20.8941625554,-156.196204472
20.8927285186,-156.194239404
20.8902500288,-156.194161977
20.8884172362,-156.191770304
20.8843101991,-156.186112258
20.8795274486,-156.181264217
20.8761294596,-156.175344662
20.8738440909,-156.170977292
20.8688522467,-156.166819535
20.8619023952,-156.166694681
20.8623529064,-156.163872717
20.8618971831,-156.15901831
20.8589276646,-156.155564129
20.8614170181,-156.149015269
20.8659097892,-156.146001709
20.8625659522,-156.143733197
20.857828425,-156.143217706
20.858232056,-156.137126707
20.8590347276,-156.131471357
20.8553882875,-156.130968288
20.8505432758,-156.12852
20.8440631706,-156.126759109
20.8396533044,-156.125805436
20.8378429934,-156.122158717
20.8342157342,-156.118886043
20.8290637397,-156.115337731
20.8242458664,-156.113182126
20.8233895887,-156.10697968
20.8251676951,-156.100853246
20.8268967927,-156.09510583
20.8270382338,-156.091044731
20.8278720941,-156.085636443
20.8254606611,-156.081580305
20.822120895,-156.077598032
20.8189813514,-156.073045233
20.8172918084,-156.068478316
20.8141919734,-156.064294606
20.8109799999,-156.059883346
20.8070820301,-156.055125978
20.8067482806,-156.051042131
20.8074892941,-156.046694237
20.8050877175,-156.041036982
20.8056256827,-156.035702644
20.8043098674,-156.028720748
20.8016291841,-156.022124287
