lat,lon
-14.5352585309663,-168.155702200546
-14.5346424109607,-168.154959000524
-14.5351226909576,-168.15461510051
-14.5339451509691,-168.155935200562
-14.5330050309711,-168.156109200574
-14.5346044709758,-168.156814300587
-14.5344112509911,-168.158671600651
-14.5366230410197,-168.162352900762
-14.5373258810531,-168.166517200898
-14.5378444210677,-168.168365400957
-14.5377290010754,-168.169294300989
-14.5386078810901,-168.171181101047
-14.5395202810956,-168.171926601067
-14.5426750410888,-168.171339801027
-14.5458176610738,-168.169749300953
-14.5478316910603,-168.168238100889
-14.547471671053,-168.16731520086
-14.5480374010464,-168.16654990083
-14.5477564210452,-168.166384100827
-14.5478053410396,-168.165692200803
-14.5477576510393,-168.165644400802
-14.5469068910403,-168.165708500809
-14.5464199510463,-168.166401200836
-14.546557701051,-168.166996600855
-14.5486146010408,-168.165909400805
-14.5486146010408,-168.165909400805
-14.548688261039,-168.165693400797
-14.5487109610388,-168.165669500796
-14.5520874910337,-168.165301000762
-14.5552234610143,-168.16316750067
-14.5595171109761,-168.158814000495
-14.5593279209611,-168.156961400433
-14.5579510009422,-168.15453480036
-14.5569510009288,-168.152818200308
-14.5543392708835,-168.14706620013
-14.5538532708743,-168.145902000094
-14.5531788708561,-168.143625800021
-14.5520966908414,-168.141750999965
-14.5513370408337,-168.140752599936
-14.5492982208225,-168.139223899897
-14.5480139708243,-168.139337199909
-14.5471653608291,-168.139861499933
-14.5454712608416,-168.141251799991
-14.5448864508506,-168.14230760003
-14.5437577408559,-168.142861300056
-14.5400031908838,-168.145971800186
-14.5347215409094,-168.148688300312
-14.5334293309124,-168.148946600329
-14.5306874909329,-168.151246100424
-14.5306208509523,-168.153619500505
-14.5311850509634,-168.155020000549
-14.5352585309663,-168.155702200546
