lat,lon
-11.0648090444399,-171.076980002157
-11.0654090444391,-171.079210002219
-11.0651190444386,-171.081670002288
-11.062229044439,-171.085660002399
-11.0586390444398,-171.088650002482
-11.0554590444408,-171.089840002515
-11.0523690444422,-171.089830002514
-11.0509690444431,-171.088680002482
-11.0494190444448,-171.084300002359
-11.0481390444472,-171.076430002138
-11.0481390444482,-171.071750002007
-11.0506490444479,-171.068100001906
-11.0546890444465,-171.066020001848
-11.0571090444453,-171.066970001875
-11.0596190444436,-171.070140001964
-11.0648090444399,-171.076980002157
